Date,"Views","Reach","Reposts","Followers"
"June 30, 2026",,,,
"June 29, 2026",14,1,0,71
"June 28, 2026",20,1,0,71
"June 27, 2026",64,0,0,71
"June 26, 2026",72,10,0,71
"June 25, 2026",39,10,0,71
"June 24, 2026",68,0,0,71
"June 23, 2026",200,1,0,71
"June 22, 2026",5,0,0,71
"June 21, 2026",4,0,0,71
"June 20, 2026",16,1,1,71
"June 19, 2026",163,10,1,71
"June 18, 2026",6,113,0,71
"June 17, 2026",21,3,0,71
"June 16, 2026",7,1,0,71
"June 15, 2026",5,2,0,70
"June 14, 2026",29,4,0,70
"June 13, 2026",74,12,0,70
"June 12, 2026",175,47,0,70
"June 11, 2026",205,96,1,70
"June 10, 2026",7,28,0,70
"June 9, 2026",1,1,0,70
"June 8, 2026",11,1,0,68
"June 7, 2026",16,8,0,67
"June 6, 2026",32,5,0,66
"June 5, 2026",157,26,0,66
"June 4, 2026",24,144,0,66
"June 3, 2026",165,7,0,66
"June 2, 2026",160,115,0,66
"June 1, 2026",14,113,0,66
"May 31, 2026",5,0,0,66
"May 30, 2026",4,0,0,66
