platform,title,url,publishedAt,impressions,views,clicks,likes,comments,shares,engagementRate,format
"linkedin","We’re back in Dallas on September 22, and we’re excited to keep building this community with both familiar faces and new voices in the room.

A strong tech hub is not defined only by the companies it attracts. It is also defined by how quickly experience moves between its leaders: what one team learns putting AI into production, what another learns scaling it, and what someone else discovers when the obvious approach fails.

That is what we want to keep developing in Dallas. Returning leaders create continuity and trust. New people introduce different experiences, sharper questions, and perspectives the group has not heard before. The value comes from having both.

If you’re a CTO, VP of Engineering, Head of AI, or senior technical leader in the Dallas area, request a seat.

Join the conversation: https://luma.com/GILD28

#DallasTech #AILeadership #EngineeringLeadership #ProductionAI #GILD","https://www.linkedin.com/feed/update/urn:li:activity:7499133946220302336","08/28/2026","144","","36","5","0","0","0.284722208976746",""
"linkedin","Phishing has always exploited something technology can’t patch: human trust. AI is making that attack much harder to recognize.

In this GILD Podcast conversation, Yasmin Abdi, cybersecurity expert and Founder and CEO of NoHack, explains why phishing remains the number one cybersecurity attack and how AI is making an already effective tactic even more convincing.

As GILD approaches its first anniversary, we’re revisiting conversations that have only become more relevant. This one certainly has. The next generation of phishing won’t look suspicious, and that’s precisely the problem.

Listen to the full conversation and subscribe to the GILD Podcast here: https://lnkd.in/g24YN7cG

#Cybersecurity #ArtificialIntelligence #Phishing #AISecurity #GILDPodcast
","https://www.linkedin.com/feed/update/urn:li:activity:7498771674247647232","08/27/2026","44","17","1","0","0","0","0.0227272734045982","Vídeo"
"linkedin","A few more moments from our last Austin GILD AI Forum.

Every time we bring this community together, it reinforces something we’ve been thinking about a lot lately: AI has made content, code, and analysis cheap to produce. It hasn’t made trust any easier to build.

The more abundant information gets, the more valuable small, trusted rooms become.

That’s the bet behind GILD. Less noise. More signal from people who are actually doing the work.

We’re bringing the Austin community together again on September 10.

Join the conversation: https://luma.com/GILD27

#AI #AustinTech #EngineeringLeadership #ProductLeadership #GILD","https://www.linkedin.com/feed/update/urn:li:activity:7498413501208477697","08/26/2026","46","","12","1","0","0","0.282608687877655",""
"linkedin","GILD Miami this past Monday was a good reminder that the quality of a room has less to do with how many people are in it and more to do with how willing they are to engage with each other.

The conversation started with Alexandria de Aranzeta, JD (Data & AI Governance Policy, Boeing), who challenged the room to think about AI progress beyond sheer activity. More code, more experiments, and faster development do not necessarily translate into more value. The real question is where an organization sits on the path from experimentation to repeatable, scaled execution, and whether teams are measuring the things that actually matter.

That framing opened up a much broader conversation across the room, but what stood out most was how people participated. There was very little posturing and a lot of specificity. Leaders shared what they are trying, where things are getting stuck, and what they are still figuring out. Conversations kept carrying over between groups, introductions happened naturally, and people stayed engaged well beyond the initial discussion.

Miami is becoming a particularly interesting GILD community for us because of that mix. Different industries, company stages, and perspectives, but a shared willingness to compare notes openly and get into the substance of the work.

Grateful to everyone who joined us: Gino Ferrand, Dianne Erwin, Stephanie Perez, Nicolas RAFFIN, Raúl Rivera, Rohit Chhabra, Arpit Gupta, Ren Shan, Zain Yaqub, Pablo Bertuzzi, Elijah B., Javier Perez Arranz, Isaac Rodriguez, Vladimir Babarykin, Matt Kuritz, Juan Fernandez, Jean-Jacques Simeoni, Julian Torres Gomez, Gerri Sternfeld, Leandro Schlottchauer, Rayhaan Rasheed, Nadav Wilf, Gaby Contreras, Evan Solomon

And a special thank you to Alexandria for setting the conversation in motion.

GILD is supported by Tecla Labs. Tecla Labs builds and runs AI systems for sales and marketing that generate qualified leads, create pipeline, and grow revenue. Learn more at www.teclalabs.com

The momentum in Miami is real. Next room: October 6.","https://www.linkedin.com/feed/update/urn:li:activity:7496660358896582656","08/21/2026","886","","351","23","2","3","0.427765250205994",""
"linkedin","GILD Austin Event: a room of engineering leaders working through something most teams feel but haven't named the comprehension gap.

AI has decoupled how fast we ship from how well we understand what we shipped. Pre-AI, understanding was baked into the build process slow, but built in. Now delivery has outpaced comprehension, and the cost that used to hide inside the build cycle is sitting out in the open.

Our conversation starter, Ivan Pointer (Senior Director of Engineering, NetRise), walked the room through a live case study a two-phase RBAC rewrite where phase one shipped clean, and phase two stalled entirely: thousands of lines of spec churn, dozens of commits, most of them reverts. Not because the team got worse. Because the agents and the humans were now contending with a system too large to hold in their heads.

The best ideas in the room were ownership structures: engineers accountable for what they ship, constraint limits on how much a single PR can touch, weekly sessions where the team has to explain their own code out loud.

The room brought together leaders from companies including Oracle, Dell Technologies, Global Payments, Sonar, SmartAsset, Atlassian, and others across AI, software, cybersecurity, and enterprise technology.

The open question on the table: how do you keep development deterministic when ""done"" becomes a vibe instead of a test case.

GILD is supported by Tecla Labs. Tecla Labs builds and runs AI systems for sales and marketing that generate qualified leads, create pipeline, and grow revenue. Learn more at www.teclalabs.com

This is the kind of conversation GILD exists for.

Gino Ferrand, Dianne Erwin, Aracely Gonzalez, Femke M., Derrick Mar, Erin (Hall) Kouri, Gil Cooper, Michael Olenick, Prakash R., Sriram Narasimhan, Tim Child, William Baxter, Andrew Lee, Srikanth Tadimalla, Durgesh Sukhtankar, Saurabh J., Nate Craddock, Kevin H., ANUSHA GANESHAN, Saurabh Agrawal, Diana Muturia, Robert Catalano, Ruben Gallegos, Aníbal Abarca Gil, Kevin Horner, Greg Jennings, Anastassia Olenick, Jamie Smith, Colin Tompkins","https://www.linkedin.com/feed/update/urn:li:activity:7495513285912600578","08/18/2026","589","315","50","12","1","4","0.113752119243145","Vídeo"
"linkedin","Miami, round two. 

On August 17, GILD returns to Miami for our second GILD AI Forum, bringing together senior AI and engineering leaders for an evening of candid conversation and peer exchange. 

This time our Conversation Starter is Alexandria de Aranzeta, JD, AI and Data Governance Global Policy Lead at Boeing. Her career spans government, startups, policy, and emerging tech, exactly the kind of multidisciplinary perspective this room needs right now. 

Another strong voice joining the room at GILD AI Forum Miami. 

#AILeadership 
#AIGovernance 
#EnterpriseAI 
#MiamiTech 
#GILD","https://www.linkedin.com/feed/update/urn:li:activity:7494176857714540545","08/14/2026","286","","6","5","0","2","0.0454545468091965",""
"linkedin","When intelligence becomes abundant, perspective becomes scarce.

The hardest questions in AI are still being figured out in real time, by people building, deploying, and leading through them.

That’s the room GILD creates.

Senior AI and engineering leaders comparing notes, challenging assumptions, and sharing what they’re learning before it becomes a playbook.

Because sometimes the most valuable thing in the room isn’t an answer.

It’s the person who changes the question.

That’s GILD.

#AILeadership #EngineeringLeadership #ArtificialIntelligence #TechCommunity #GILD","https://www.linkedin.com/feed/update/urn:li:activity:7493682583327637506","08/13/2026","105","","15","1","0","0","0.152380958199501",""
"linkedin","AI adoption doesn’t stall because teams lack tools. It stalls when understanding can’t keep pace with what the technology can do.

Tonight in Austin, Ivan Pointer, Senior Director of Engineering at NetRise, will dig into the AI comprehension gap and what engineering leaders can do to close it.

Looking forward to a strong conversation.

#AILeadership #EngineeringLeadership #ArtificialIntelligence #TechLeadership #GILD","https://www.linkedin.com/feed/update/urn:li:activity:7492984220370227200","08/11/2026","245","","9","9","0","1","0.0775510221719742",""
"linkedin","A system can be up, fast, and still be wrong. Observability is what catches that.

New on the blog: what AI observability actually needs to track, and why it's becoming a leadership decision, not just a tooling one. 

https://lnkd.in/dVpink_B

#AIObservability #AIOps #EnterpriseAI #AILeadership #EngineeringLeadership ","https://www.linkedin.com/feed/update/urn:li:activity:7491528133125283840","08/07/2026","97","","2","2","1","0","0.0515463910996914",""
"linkedin","The Austin GILD AI Forum returns on August 11.

A curated room for senior AI and engineering leaders to compare notes on what is working, where teams are getting stuck, and the tradeoffs shaping how AI gets built and deployed.

Thank you to Tecla Labs for partnering with us and helping make these rooms possible.

Most companies are still running AI pilots. Tecla Labs builds and runs data-powered AI systems designed to turn sales and marketing work into qualified leads, pipeline, and revenue.

Learn more: www.teclalabs.com
","https://www.linkedin.com/feed/update/urn:li:activity:7491156431988170752","08/06/2026","135","","10","2","0","0","0.0888888910412788",""
