platform,title,url,publishedAt,impressions,views,clicks,likes,comments,shares,engagementRate
linkedin,"Austin Forum recap: practical questions about AI autonomy, context and human visibility.",https://www.linkedin.com/feed/update/urn:li:activity:7505653198615945218,2026-09-15,426,0,280,10,0,3,68.77934336662292
linkedin,"Austin scaling challenges: energy density and human visibility.",https://www.linkedin.com/feed/update/urn:li:activity:7504309351495618560,2026-09-11,841,277,179,17,2,3,23.900118470191956
linkedin,"What makes a product defensible when AI makes features easier to build?",https://www.linkedin.com/feed/update/urn:li:activity:7503897492560748544,2026-09-10,75,24,2,2,0,0,5.33333346247673
linkedin,"AI teams need places to test what they think they know.",https://www.linkedin.com/feed/update/urn:li:activity:7503110715247898624,2026-09-08,112,0,4,1,0,0,4.46428582072258
linkedin,"Tim Child opens the Austin GILD AI Forum conversation.",https://www.linkedin.com/feed/update/urn:li:activity:7501720037536346112,2026-09-04,534,0,20,34,0,1,10.299624422716904
linkedin,"GILD year one: a community built through conversations.",https://www.linkedin.com/feed/update/urn:li:activity:7500587101235630080,2026-09-01,227,0,71,4,0,1,33.48017641501273
linkedin,"Dallas is back on September 22.",https://www.linkedin.com/feed/update/urn:li:activity:7499133946220302336,2026-08-28,210,0,57,6,0,0,30.000001192092896
linkedin,"Podcast: AI is making phishing harder to recognize.",https://www.linkedin.com/feed/update/urn:li:activity:7498771674247647232,2026-08-27,62,25,1,0,0,0,1.6129031772381897
linkedin,"Austin GILD Forum: trusted rooms matter more when information is abundant.",https://www.linkedin.com/feed/update/urn:li:activity:7498413501208477697,2026-08-26,67,0,29,1,0,0,44.7761207818985
linkedin,"GILD Miami: the quality of a room comes from willingness to engage.",https://www.linkedin.com/feed/update/urn:li:activity:7496660358896582656,2026-08-21,950,0,375,24,3,3,42.63157844543457
linkedin,"Austin GILD Forum: the comprehension gap in AI development.",https://www.linkedin.com/feed/update/urn:li:activity:7495513285912600578,2026-08-18,664,356,52,12,1,4,10.391566157341003
