platform,title,url,publishedAt,impressions,views,clicks,likes,comments,shares,engagementRate,format
linkedin,"GILD Austin Event: a room of engineering leaders working through something most teams feel but haven't named the comprehension gap.

AI has decoupled how fast we ship from how well we understand what we shipped. Pre-AI, understanding was baked into the build process slow, but built in. Now delivery has outpaced comprehension, and the cost that used to hide inside the build cycle is sitting out in the open.

Our conversation starter, Ivan Pointer (Senior Director of Engineering, NetRise), walked the room through a live case study a two-phase RBAC rewrite where phase one shipped clean, and phase two stalled entirely: thousands of lines of spec churn, dozens of commits, most of them reverts. Not because the team got worse. Because the agents and the humans were now contending with a system too large to hold in their heads.

The best ideas in the room were ownership structures: engineers accountable for what they ship, constraint limits on how much a single PR can touch, weekly sessions where the team has to explain their own code out loud.

The room brought together leaders from companies including Oracle, Dell Technologies, Global Payments, Sonar, SmartAsset, Atlassian, and others across AI, software, cybersecurity, and enterprise technology.

The open question on the table: how do you keep development deterministic when ""done"" becomes a vibe instead of a test case.

GILD is supported by Tecla Labs. Tecla Labs builds and runs AI systems for sales and marketing that generate qualified leads, create pipeline, and grow revenue. Learn more at www.teclalabs.com

This is the kind of conversation GILD exists for.

Gino Ferrand, Dianne Erwin, Aracely Gonzalez, Femke M., Derrick Mar, Erin (Hall) Kouri, Gil Cooper, Michael Olenick, Prakash R., Sriram Narasimhan, Tim Child, William Baxter, Andrew Lee, Srikanth Tadimalla, Durgesh Sukhtankar, Saurabh J., Nate Craddock, Kevin H., ANUSHA GANESHAN, Saurabh Agrawal, Diana Muturia, Robert Catalano, Ruben Gallegos, Aníbal Abarca Gil, Kevin Horner, Greg Jennings, Anastassia Olenick, Jamie Smith, Colin Tompkins",https://www.linkedin.com/feed/update/urn:li:activity:7495513285912600578,2026-08-18,501,256.0,41,12,1,4,0.11576846241950989,Vídeo
linkedin,"Miami, round two. 

On August 17, GILD returns to Miami for our second GILD AI Forum, bringing together senior AI and engineering leaders for an evening of candid conversation and peer exchange. 

This time our Conversation Starter is Alexandria de Aranzeta, JD, AI and Data Governance Global Policy Lead at Boeing. Her career spans government, startups, policy, and emerging tech, exactly the kind of multidisciplinary perspective this room needs right now. 

Another strong voice joining the room at GILD AI Forum Miami. 

#AILeadership 
#AIGovernance 
#EnterpriseAI 
#MiamiTech 
#GILD",https://www.linkedin.com/feed/update/urn:li:activity:7494176857714540545,2026-08-14,236,0.0,6,5,0,2,0.055084746330976486,Orgánico
linkedin,"When intelligence becomes abundant, perspective becomes scarce.

The hardest questions in AI are still being figured out in real time, by people building, deploying, and leading through them.

That’s the room GILD creates.

Senior AI and engineering leaders comparing notes, challenging assumptions, and sharing what they’re learning before it becomes a playbook.

Because sometimes the most valuable thing in the room isn’t an answer.

It’s the person who changes the question.

That’s GILD.

#AILeadership #EngineeringLeadership #ArtificialIntelligence #TechCommunity #GILD",https://www.linkedin.com/feed/update/urn:li:activity:7493682583327637506,2026-08-13,83,0.0,11,1,0,0,0.14457830786705017,Orgánico
linkedin,"AI adoption doesn’t stall because teams lack tools. It stalls when understanding can’t keep pace with what the technology can do.

Tonight in Austin, Ivan Pointer, Senior Director of Engineering at NetRise, will dig into the AI comprehension gap and what engineering leaders can do to close it.

Looking forward to a strong conversation.

#AILeadership #EngineeringLeadership #ArtificialIntelligence #TechLeadership #GILD",https://www.linkedin.com/feed/update/urn:li:activity:7492984220370227200,2026-08-11,224,0.0,9,9,0,1,0.0848214253783226,Orgánico
linkedin,"A system can be up, fast, and still be wrong. Observability is what catches that.

New on the blog: what AI observability actually needs to track, and why it's becoming a leadership decision, not just a tooling one. 

https://lnkd.in/dVpink_B

#AIObservability #AIOps #EnterpriseAI #AILeadership #EngineeringLeadership ",https://www.linkedin.com/feed/update/urn:li:activity:7491528133125283840,2026-08-07,84,0.0,2,2,1,0,0.0595238097012043,Orgánico
linkedin,"The Austin GILD AI Forum returns on August 11.

A curated room for senior AI and engineering leaders to compare notes on what is working, where teams are getting stuck, and the tradeoffs shaping how AI gets built and deployed.

Thank you to Tecla Labs for partnering with us and helping make these rooms possible.

Most companies are still running AI pilots. Tecla Labs builds and runs data-powered AI systems designed to turn sales and marketing work into qualified leads, pipeline, and revenue.

Learn more: www.teclalabs.com
",https://www.linkedin.com/feed/update/urn:li:activity:7491156431988170752,2026-08-06,107,0.0,2,2,0,0,0.037383176386356354,Orgánico
linkedin,"AI monitoring tells you a system is running. It doesn't tell you whether to trust what it's doing.

That's the distinction engineering leaders keep running into as AI moves from pilot to production. Monitoring answers ""did the call succeed."" Observability answers ""was the output good enough to trust.""

Token cost. Output quality. Prompt and context traces. Drift. Human feedback loops. That's the operating view technical leaders now need in one place, not scattered across five dashboards.

Full breakdown on the blog: https://lnkd.in/dVpink_B

#AIObservability #AIEngineering #ProductionAI #MLOps #EngineeringLeadership",https://www.linkedin.com/feed/update/urn:li:activity:7490791825432297472,2026-08-05,73,0.0,1,3,0,0,0.054794520139694214,Orgánico
linkedin,"Something happens when you put the right people in a room together and remove every incentive to perform.

The conversations that came out of our first Miami dinner were candid, generous, and grounded in the decisions leaders are actually navigating. 

This is what GILD looks like in Miami.

We are bringing the group together again on Monday, August 17, for another invite-only, off-the-record dinner for senior AI and engineering leaders in Coral Gables.

Thank you to Tecla for helping make these gatherings possible. Tecla helps companies hire AI-ready talent and build and operate AI-enabled growth systems. This is not a sales event, and there is no pitch.

Request a seat: https://luma.com/GILD26

#GILDAIForum #AILeadership #EngineeringLeadership #MiamiTech #TechLeadership",https://www.linkedin.com/feed/update/urn:li:activity:7488987169357934592,2026-07-31,179,33.0,3,4,0,0,0.03910614550113678,Vídeo
linkedin,"A look inside last week’s GILD AI Forum in Miami.

Conversations stretched across the room, introductions turned into deeper exchanges, and people stayed engaged because there was still more to explore.

That is the value of bringing a small group of experienced leaders together in person. One question, one perspective, or one introduction can open the door to something much bigger.

Thank you again to everyone who was part of the evening, and to Tecla for supporting these gatherings.

#GILD #MiamiTech #AILeadership #EngineeringLeaders #TechCommunity",https://www.linkedin.com/feed/update/urn:li:activity:7487895244311588865,2026-07-28,163,41.0,5,2,0,0,0.042944785207509995,Vídeo
linkedin,"There’s something that happens in a small room when everyone at the table is carrying real responsibility.

The guard comes down. The conversation gets honest. People leave having actually connected with someone, not just exchanged a card.

That was Austin on July 14.

Next up: Austin on August 11. Private, curated, and off the record, for CTOs, VPs of Engineering, Heads of AI, and other senior technical leaders.

Request an invite: https://luma.com/GILD24

Thank you to Tecla for partnering with us and helping make these rooms possible. Tecla helps companies hire AI-ready talent and build and operate AI-enabled growth systems.",https://www.linkedin.com/feed/update/urn:li:activity:7487527062476320768,2026-07-27,227,63.0,8,11,0,0,0.08370044082403183,Vídeo
